Start Time,Duration (sec),Fixture,"Flow Rate Hot & Cold (gpm)","Flow Rate Hot Only (gpm)","Flow Rate Cold Only (gpm)"
1/18 4:55:36 PM,12,Kitchen Sink,1.13,0.960,0.170
1/18 5:21:00 PM,300,Bath 2,4.619,3.926,0.693
1/18 5:37:30 PM,36,Kitchen Sink,0.492,0.418,0.074
1/18 5:39:24 PM,102,Kitchen Sink,1.223,1.040,0.183
1/18 5:43:00 PM,6,Kitchen Sink,0.926,0.787,0.139
1/18 6:21:48 PM,48,Kitchen Sink,2.129,1.810,0.319
1/18 6:23:42 PM,66,Kitchen Sink,0.682,0.580,0.102
1/18 6:36:48 PM,6,Sink 2,0.168,0.143,0.025
1/18 6:38:48 PM,12,Sink 3,1.585,1.347,0.238
1/18 7:19:30 PM,6,Sink 2,1.302,1.107,0.195
1/18 8:55:24 PM,6,Kitchen Sink,1.602,1.362,0.240
1/18 8:57:24 PM,120,Sink 3,1.501,1.276,0.225
1/19 12:51:30 AM,42,Kitchen Sink,1.179,1.002,0.177
1/19 1:30:24 AM,6,Kitchen Sink,0.04,0.034,0.006
1/19 1:32:24 AM,18,Kitchen Sink,0.47,0.400,0.070
1/19 1:34:18 AM,24,Kitchen Sink,1.514,1.287,0.227
1/19 6:04:18 AM,186,Shower 1,1.998,1.698,0.300
1/19 7:03:48 AM,48,Kitchen Sink,2.156,1.833,0.323
1/19 7:05:48 AM,12,Kitchen Sink,2.769,2.354,0.415
1/19 7:07:42 AM,6,Kitchen Sink,0.263,0.224,0.039
1/19 7:09:30 AM,24,Kitchen Sink,0.962,0.818,0.144
1/19 7:39:36 AM,108,Sink 3,0.447,0.380,0.067
1/19 7:52:30 AM,42,Sink 3,0.277,0.235,0.042
1/19 7:54:30 AM,36,Kitchen Sink,1.178,1.001,0.177
1/19 8:03:06 AM,30,Kitchen Sink,0.926,0.787,0.139
1/19 8:05:00 AM,48,Kitchen Sink,1.341,1.140,0.201
1/19 8:06:54 AM,54,Kitchen Sink,1.37,1.165,0.205
1/19 8:38:18 AM,438,Shower 1,2.202,1.872,0.330
1/19 9:44:36 AM,42,Kitchen Sink,0.54,0.459,0.081
1/19 9:46:36 AM,12,Sink 4,1.109,0.943,0.166
1/19 9:48:30 AM,72,Kitchen Sink,0.683,0.581,0.102
1/19 9:50:24 AM,78,Kitchen Sink,0.293,0.249,0.044
1/19 9:52:24 AM,60,Kitchen Sink,0.596,0.507,0.089
1/19 9:54:18 AM,6,Sink 4,1.788,1.520,0.268
1/19 9:56:12 AM,24,Kitchen Sink,0.839,0.713,0.126
1/19 9:58:12 AM,6,Kitchen Sink,0.408,0.347,0.061
1/19 10:00:06 AM,6,Kitchen Sink,0.703,0.598,0.105
1/19 10:01:12 AM,18,Kitchen Sink,1.231,1.046,0.185
1/19 10:22:54 AM,42,Sink 3,0.487,0.414,0.073
1/19 1:36:06 PM,30,Kitchen Sink,2.246,1.909,0.337
1/19 1:38:06 PM,6,Kitchen Sink,1.28,1.088,0.192
1/19 1:40:00 PM,6,Kitchen Sink,1.776,1.510,0.266
1/19 3:27:54 PM,132,Kitchen Sink,0.838,0.712,0.126
1/19 5:20:36 PM,108,Kitchen Sink,0.366,0.311,0.055
1/19 5:32:42 PM,42,Kitchen Sink,1.701,1.446,0.255
1/19 5:41:54 PM,24,Sink 2,2.2,1.870,0.330
1/19 5:51:18 PM,6,Kitchen Sink,0.476,0.405,0.071
1/19 5:51:18 PM,24,Kitchen Sink,0.527,0.448,0.079
1/19 6:00:12 PM,66,Kitchen Sink,1.794,1.525,0.269
1/19 6:00:30 PM,12,Kitchen Sink,0.847,0.720,0.127
1/19 6:02:06 PM,54,Sink 3,0.049,0.042,0.007
1/19 6:21:24 PM,6,Sink 3,0.135,0.115,0.020
1/19 7:30:30 PM,96,Sink 3,0.114,0.097,0.017
1/19 7:32:24 PM,12,Kitchen Sink,2.461,2.092,0.369
1/19 7:34:24 PM,30,Kitchen Sink,0.722,0.614,0.108
1/19 7:36:18 PM,36,Sink 2,0.623,0.530,0.093
1/19 7:38:12 PM,6,Kitchen Sink,0.23,0.196,0.034
1/19 7:46:24 PM,30,Kitchen Sink,1.168,0.993,0.175
1/19 7:47:54 PM,48,Kitchen Sink,1.412,1.200,0.212
1/19 7:48:18 PM,18,Kitchen Sink,1.583,1.346,0.237
1/19 7:49:48 PM,12,Kitchen Sink,0.606,0.515,0.091
1/19 7:51:48 PM,30,Kitchen Sink,1.392,1.183,0.209
1/19 7:53:42 PM,42,Kitchen Sink,1.235,1.050,0.185
1/19 7:58:42 PM,6,Kitchen Sink,0.813,0.691,0.122
1/19 8:00:36 PM,30,Kitchen Sink,0.996,0.847,0.149
1/19 10:05:48 PM,84,CW,2.421,2.421,0.000
1/19 11:20:00 PM,36,CW,2.415,2.415,0.000
1/20 12:17:06 AM,102,Kitchen Sink,1.298,1.104,0.194
1/20 12:19:06 AM,6,Kitchen Sink,1.332,1.132,0.200
1/20 12:19:06 AM,12,Kitchen Sink,1.574,1.338,0.236
1/20 12:49:18 AM,6,Sink 2,0.392,0.333,0.059
1/20 12:51:18 AM,36,Kitchen Sink,0.409,0.348,0.061
1/20 12:56:18 AM,138,Kitchen Sink,0.592,0.503,0.089
1/20 5:34:18 AM,576,Shower 2,2.891,2.458,0.433
1/20 6:07:12 AM,12,Kitchen Sink,1.784,1.517,0.267
1/20 7:41:36 AM,6,Kitchen Sink,0.49,0.417,0.073
1/20 7:43:30 AM,60,Sink 4,1.269,1.079,0.190
1/20 7:45:18 AM,48,Kitchen Sink,0.05,0.043,0.007
1/20 7:45:24 AM,36,Kitchen Sink,1.185,1.007,0.178
1/20 7:47:24 AM,162,Kitchen Sink,0.945,0.803,0.142
1/20 7:49:12 AM,12,Kitchen Sink,1.556,1.323,0.233
1/20 7:49:18 AM,60,Kitchen Sink,0.6,0.510,0.090
1/20 7:51:06 AM,6,Kitchen Sink,0.064,0.054,0.010
1/20 7:51:12 AM,42,Kitchen Sink,1.537,1.307,0.230
1/20 7:53:06 AM,42,Kitchen Sink,0.44,0.374,0.066
1/20 7:53:12 AM,54,Kitchen Sink,1.83,1.556,0.274
1/20 7:55:00 AM,12,Sink 4,1.558,1.325,0.233
1/20 8:10:18 AM,6,Kitchen Sink,0.426,0.362,0.064
1/20 9:33:24 AM,114,Kitchen Sink,1.141,0.970,0.171
1/20 9:35:18 AM,12,Kitchen Sink,1.334,1.134,0.200
1/20 9:37:18 AM,6,Sink 3,1.84,1.564,0.276
1/20 9:39:12 AM,6,Kitchen Sink,0.511,0.434,0.077
