Start Time,Duration (sec),Fixture,"Flow Rate Hot & Cold (gpm)","Flow Rate Hot Only (gpm)","Flow Rate Cold Only (gpm)"
6/27 4:57:54 PM,24,Kitchen Sink,0.807,0.660,0.147
6/27 5:21:54 PM,48,Sink 3,1.306,1.068,0.238
6/27 5:55:54 PM,36,Kitchen Sink,1.371,1.121,0.250
6/27 6:59:48 PM,48,Kitchen Sink,1.532,1.252,0.280
6/27 7:01:48 PM,42,Kitchen Sink,0.9,0.736,0.164
6/27 8:47:30 PM,18,Kitchen Sink,0.892,0.729,0.163
6/27 8:49:24 PM,12,Sink 2,0.259,0.212,0.047
6/27 11:42:06 PM,78,Kitchen Sink,0.611,0.499,0.112
6/27 11:44:00 PM,72,Sink 4,0.732,0.598,0.134
6/28 6:03:48 AM,48,Kitchen Sink,1.047,0.856,0.191
6/28 7:00:54 AM,12,Kitchen Sink,0.307,0.251,0.056
6/28 7:17:12 AM,60,Kitchen Sink,1.141,0.932,0.209
6/28 7:19:06 AM,12,Sink 3,0.351,0.287,0.064
6/28 7:29:12 AM,48,Sink 4,0.217,0.177,0.040
6/28 7:31:06 AM,48,Kitchen Sink,0.93,0.760,0.170
6/28 7:46:18 AM,24,Kitchen Sink,1.145,0.936,0.209
6/28 8:38:36 AM,42,CW,1.234,1.234,0.000
6/28 9:00:00 AM,36,Kitchen Sink,1.502,1.227,0.275
6/28 9:52:54 AM,72,CW,1.58,1.580,0.000
6/28 10:08:06 AM,66,CW,1.352,1.352,0.000
6/28 10:49:12 AM,6,Kitchen Sink,0.437,0.357,0.080
6/28 10:53:54 AM,18,Kitchen Sink,0.351,0.287,0.064
6/28 11:06:18 AM,36,Sink 3,1.899,1.552,0.347
6/28 11:08:18 AM,90,Sink 3,0.175,0.143,0.032
6/28 12:13:48 PM,72,CW,2.908,2.908,0.000
6/28 2:35:30 PM,90,Sink 2,0.634,0.518,0.116
6/28 3:11:18 PM,24,Sink 4,1.48,1.209,0.271
6/28 3:41:06 PM,36,Kitchen Sink,0.258,0.211,0.047
6/28 3:43:00 PM,120,Kitchen Sink,0.49,0.400,0.090
6/28 3:44:54 PM,12,Kitchen Sink,1.151,0.941,0.210
6/28 3:46:54 PM,48,Kitchen Sink,0.833,0.681,0.152
6/28 3:48:48 PM,6,Kitchen Sink,2.161,1.766,0.395
6/28 3:50:42 PM,6,Kitchen Sink,0.769,0.628,0.141
6/28 3:52:42 PM,48,Kitchen Sink,0.053,0.043,0.010
6/28 3:54:36 PM,12,Kitchen Sink,0.058,0.047,0.011
6/28 3:56:30 PM,12,Kitchen Sink,2.76,2.255,0.505
6/28 3:58:30 PM,18,Kitchen Sink,1.489,1.217,0.272
6/28 4:00:24 PM,24,Sink 3,1.419,1.160,0.259
6/28 4:02:18 PM,12,Kitchen Sink,1.6,1.307,0.293
6/28 4:42:54 PM,6,Sink 3,0.343,0.280,0.063
6/28 5:15:48 PM,72,Sink 3,0.35,0.286,0.064
6/28 6:27:36 PM,156,Kitchen Sink,0.958,0.783,0.175
6/28 6:29:36 PM,72,Sink 2,0.44,0.360,0.080
6/28 6:31:30 PM,24,Kitchen Sink,1.485,1.213,0.272
6/28 6:33:24 PM,6,Kitchen Sink,0.017,0.014,0.003
6/28 7:05:00 PM,30,Kitchen Sink,0.27,0.221,0.049
6/28 8:32:18 PM,12,Sink 4,1.318,1.077,0.241
6/28 9:59:24 PM,96,Kitchen Sink,0.712,0.582,0.130
6/28 10:03:18 PM,24,Sink 3,0.054,0.044,0.010
6/28 10:05:18 PM,6,Kitchen Sink,0.295,0.241,0.054
6/28 10:11:12 PM,48,Sink 2,0.242,0.198,0.044
6/28 11:04:24 PM,54,Sink 2,0.649,0.530,0.119
6/28 11:33:18 PM,30,Kitchen Sink,2.245,1.834,0.411
6/28 11:49:12 PM,6,Sink 2,0.861,0.704,0.157
6/29 3:16:42 AM,72,Kitchen Sink,0.325,0.265,0.060
6/29 3:18:42 AM,36,Kitchen Sink,1.202,0.982,0.220
6/29 3:20:36 AM,36,Kitchen Sink,1.633,1.334,0.299
6/29 3:22:30 AM,12,Sink 3,1.604,1.310,0.294
6/29 3:24:30 AM,210,Kitchen Sink,1.05,0.858,0.192
6/29 3:26:24 AM,150,Kitchen Sink,0.749,0.612,0.137
6/29 8:07:30 AM,30,Kitchen Sink,1.094,0.894,0.200
6/29 11:00:48 AM,120,Kitchen Sink,1.137,0.929,0.208
6/29 11:01:42 AM,36,CW,0.412,0.412,0.000
6/29 11:06:42 AM,54,CW,2.669,2.669,0.000
6/29 11:11:36 AM,78,CW,2.309,2.309,0.000
6/29 11:16:36 AM,60,CW,2.239,2.239,0.000
6/29 11:21:36 AM,6,CW,4.686,4.686,0.000
6/29 12:54:06 PM,102,Kitchen Sink,1.216,0.993,0.223
6/29 12:58:24 PM,12,Sink 3,1.816,1.483,0.333
6/29 2:04:54 PM,54,Sink 2,0.503,0.411,0.092
6/29 3:07:30 PM,18,Sink 4,1.074,0.877,0.197
6/29 3:28:12 PM,48,Kitchen Sink,0.215,0.176,0.039
6/29 3:30:06 PM,78,Kitchen Sink,0.691,0.564,0.127
6/29 3:32:06 PM,48,Kitchen Sink,2.135,1.744,0.391
6/29 3:34:00 PM,6,Kitchen Sink,0.627,0.512,0.115
6/29 4:26:30 PM,66,Kitchen Sink,1.489,1.216,0.273
6/29 6:03:54 PM,66,CW,2.805,2.805,0.000
6/29 6:17:00 PM,12,Kitchen Sink,2.783,2.273,0.510
6/29 6:18:54 PM,84,Kitchen Sink,0.953,0.778,0.175
6/29 6:20:48 PM,36,Sink 2,1.974,1.612,0.362
6/29 6:22:42 PM,24,Kitchen Sink,1.266,1.034,0.232
6/29 6:24:42 PM,6,Sink 2,0.045,0.037,0.008
6/29 6:26:36 PM,126,Sink 2,0.424,0.346,0.078
6/29 6:28:30 PM,36,Sink 4,1.027,0.839,0.188
6/29 7:18:12 PM,6,CW,3.049,3.049,0.000
6/29 8:32:24 PM,66,CW,3.197,3.197,0.000
6/29 9:51:42 PM,504,Shower 2,2.378,1.942,0.436
6/29 11:26:30 PM,12,Kitchen Sink,1.057,0.863,0.194
6/29 11:35:54 PM,54,Kitchen Sink,2.016,1.647,0.369
6/29 11:37:48 PM,18,Kitchen Sink,0.826,0.675,0.151
6/29 11:39:42 PM,12,Sink 3,0.626,0.511,0.115
6/29 11:41:36 PM,42,Kitchen Sink,2.056,1.679,0.377
6/29 11:42:18 PM,24,Sink 2,1.821,1.487,0.334
6/29 11:43:36 PM,48,Kitchen Sink,0.721,0.589,0.132
6/29 11:44:12 PM,12,Kitchen Sink,1.308,1.068,0.240
6/29 11:46:12 PM,66,Kitchen Sink,1.424,1.163,0.261
6/30 1:39:42 AM,18,Sink 3,0.341,0.278,0.063
6/30 5:15:42 AM,30,Kitchen Sink,1.593,1.301,0.292
6/30 5:48:06 AM,18,Kitchen Sink,0.43,0.351,0.079
6/30 6:20:54 AM,36,Kitchen Sink,1.496,1.222,0.274
6/30 6:22:54 AM,36,Kitchen Sink,1.557,1.271,0.286
6/30 6:24:48 AM,6,Kitchen Sink,1.729,1.412,0.317
6/30 6:26:42 AM,30,Sink 3,2.027,1.655,0.372
6/30 7:07:30 AM,90,Kitchen Sink,1.23,1.004,0.226
6/30 7:13:24 AM,48,Kitchen Sink,0.786,0.642,0.144
6/30 8:38:00 AM,192,Sink 4,1.205,0.984,0.221
6/30 8:40:00 AM,12,Kitchen Sink,1.295,1.057,0.238
6/30 8:41:54 AM,48,Kitchen Sink,0.498,0.407,0.091
6/30 9:10:36 AM,126,CW,2.222,2.222,0.000
6/30 9:22:54 AM,30,Kitchen Sink,1.394,1.138,0.256
6/30 9:24:54 AM,66,Kitchen Sink,1.327,1.084,0.243
6/30 9:26:48 AM,6,Kitchen Sink,0.056,0.046,0.010
6/30 9:33:36 AM,6,Kitchen Sink,0.824,0.673,0.151
6/30 9:35:30 AM,30,Kitchen Sink,1.262,1.031,0.231
6/30 9:37:30 AM,24,Kitchen Sink,0.175,0.143,0.032
6/30 9:39:24 AM,90,Sink 3,1.235,1.008,0.227
6/30 9:41:18 AM,108,Sink 3,0.862,0.704,0.158
6/30 9:43:18 AM,36,Sink 4,2.344,1.914,0.430
6/30 9:45:12 AM,30,Sink 3,1.148,0.937,0.211
6/30 9:47:06 AM,36,Kitchen Sink,0.501,0.409,0.092
6/30 9:49:06 AM,108,Sink 3,0.803,0.656,0.147
6/30 9:51:00 AM,42,Kitchen Sink,1.607,1.312,0.295
6/30 9:52:24 AM,12,Kitchen Sink,1.715,1.400,0.315
6/30 9:52:54 AM,36,Sink 2,1.059,0.865,0.194
6/30 9:54:54 AM,6,Kitchen Sink,0.074,0.060,0.014
6/30 9:56:48 AM,54,Kitchen Sink,1.118,0.913,0.205
6/30 10:03:30 AM,6,CW,1.388,1.388,0.000
6/30 10:56:54 AM,24,Kitchen Sink,0.751,0.613,0.138
6/30 11:15:06 AM,6,Sink 3,0.15,0.122,0.028
6/30 11:43:54 AM,54,Kitchen Sink,1.037,0.847,0.190
6/30 11:45:48 AM,84,Kitchen Sink,1.533,1.252,0.281
6/30 11:47:42 AM,6,Kitchen Sink,0.017,0.014,0.003
6/30 11:49:42 AM,72,Sink 2,0.667,0.545,0.122
6/30 12:35:36 PM,150,Sink 4,0.759,0.620,0.139
6/30 12:37:36 PM,12,Sink 2,1.47,1.200,0.270
6/30 12:39:30 PM,54,Kitchen Sink,1.185,0.968,0.217
6/30 12:41:24 PM,6,Kitchen Sink,0.196,0.160,0.036
6/30 12:43:24 PM,84,Sink 4,1.254,1.024,0.230
6/30 1:59:24 PM,12,Sink 3,1.81,1.478,0.332
6/30 3:56:42 PM,6,Kitchen Sink,0.278,0.227,0.051
6/30 4:32:24 PM,6,Sink 4,0.053,0.043,0.010
6/30 4:45:06 PM,6,Sink 2,0.032,0.026,0.006
6/30 5:30:48 PM,6,Sink 4,0.773,0.631,0.142
6/30 5:32:42 PM,12,Kitchen Sink,2.121,1.732,0.389
6/30 5:33:18 PM,42,Kitchen Sink,0.77,0.629,0.141
6/30 5:34:42 PM,18,Kitchen Sink,0.993,0.811,0.182
6/30 5:36:36 PM,48,Kitchen Sink,0.993,0.811,0.182
6/30 5:38:30 PM,6,Kitchen Sink,0.025,0.020,0.005
6/30 5:40:30 PM,6,Kitchen Sink,0.227,0.185,0.042
6/30 5:42:24 PM,6,Kitchen Sink,0.187,0.153,0.034
6/30 5:44:18 PM,24,Kitchen Sink,1.593,1.301,0.292
6/30 6:43:54 PM,18,Kitchen Sink,1.4,1.143,0.257
6/30 8:00:48 PM,18,Sink 2,0.704,0.575,0.129
6/30 8:30:30 PM,6,Kitchen Sink,0.006,0.005,0.001
6/30 8:32:06 PM,6,Kitchen Sink,1.431,1.169,0.262
6/30 8:32:30 PM,24,Kitchen Sink,1.85,1.511,0.339
6/30 8:34:00 PM,6,Sink 2,1.415,1.155,0.260
6/30 8:55:54 PM,6,Kitchen Sink,0.454,0.371,0.083
6/30 8:57:48 PM,18,Kitchen Sink,1.379,1.126,0.253
6/30 8:59:42 PM,24,Kitchen Sink,2.09,1.707,0.383
6/30 9:01:42 PM,6,Sink 3,0.22,0.180,0.040
6/30 9:03:36 PM,42,Kitchen Sink,0.219,0.179,0.040
6/30 9:05:30 PM,66,Kitchen Sink,2.232,1.823,0.409
6/30 9:53:54 PM,12,Kitchen Sink,1.314,1.073,0.241
6/30 10:07:30 PM,36,Kitchen Sink,0.79,0.645,0.145
6/30 10:09:24 PM,30,Kitchen Sink,1.522,1.243,0.279
6/30 10:20:36 PM,6,Sink 4,0.491,0.401,0.090
6/30 10:22:30 PM,18,Kitchen Sink,2.349,1.918,0.431
6/30 10:24:24 PM,96,Sink 4,1.131,0.924,0.207
6/30 11:23:00 PM,42,Sink 2,2.331,1.903,0.428
6/30 11:59:12 PM,30,Kitchen Sink,1.253,1.023,0.230
7/1 12:01:12 AM,84,Kitchen Sink,0.85,0.694,0.156
7/1 12:32:48 AM,12,Kitchen Sink,1.202,0.981,0.221
7/1 1:31:42 AM,18,Kitchen Sink,1.816,1.482,0.334
7/1 1:39:12 AM,24,Sink 2,1.421,1.160,0.261
7/1 1:41:06 AM,84,Kitchen Sink,1.748,1.427,0.321
7/1 6:32:30 AM,42,Kitchen Sink,0.047,0.038,0.009
7/1 7:18:24 AM,354,Shower 1,1.162,0.949,0.213
7/1 7:56:24 AM,96,DW1,1.368,1.368,0.000
7/1 8:06:12 AM,60,DW1,1.208,1.208,0.000
7/1 8:09:06 AM,12,Kitchen Sink,0.71,0.580,0.130
7/1 8:15:00 AM,30,Kitchen Sink,1.132,0.924,0.208
7/1 8:16:00 AM,48,DW1,1.336,1.336,0.000
7/1 8:25:48 AM,66,DW1,1.413,1.413,0.000
7/1 8:34:30 AM,6,Kitchen Sink,0.645,0.527,0.118
7/1 8:36:24 AM,18,Kitchen Sink,1.445,1.180,0.265
7/1 8:38:18 AM,42,Kitchen Sink,1.423,1.162,0.261
7/1 8:38:24 AM,24,Kitchen Sink,0.89,0.727,0.163
7/1 8:40:18 AM,30,Kitchen Sink,1.003,0.819,0.184
7/1 8:40:24 AM,18,Sink 3,0.935,0.763,0.172
7/1 9:12:48 AM,18,Kitchen Sink,0.999,0.815,0.184
7/1 9:14:42 AM,168,Kitchen Sink,0.924,0.754,0.170
7/1 9:16:36 AM,36,Kitchen Sink,0.416,0.340,0.076
7/1 9:18:36 AM,12,Kitchen Sink,1.309,1.069,0.240
7/1 9:29:54 AM,60,Kitchen Sink,0.738,0.602,0.136
7/1 11:30:06 AM,18,Sink 4,0.367,0.300,0.067
7/1 11:32:00 AM,168,Kitchen Sink,1.259,1.028,0.231
7/1 11:53:18 AM,30,Sink 3,0.831,0.678,0.153
7/1 11:55:18 AM,6,Kitchen Sink,0.324,0.264,0.060
7/1 11:57:12 AM,24,Kitchen Sink,0.044,0.036,0.008
7/1 12:42:24 PM,102,Kitchen Sink,1.88,1.535,0.345
7/1 3:39:42 PM,12,Kitchen Sink,0.794,0.648,0.146
7/1 5:05:48 PM,36,Sink 2,1.454,1.187,0.267
7/1 5:09:00 PM,36,Kitchen Sink,1.762,1.438,0.324
7/1 5:10:30 PM,42,Kitchen Sink,1.412,1.153,0.259
7/1 5:12:24 PM,60,Kitchen Sink,1.669,1.362,0.307
7/1 5:23:36 PM,24,Kitchen Sink,1.66,1.355,0.305
7/1 5:25:36 PM,24,Sink 3,1.449,1.183,0.266
7/1 5:50:48 PM,54,Kitchen Sink,2.073,1.692,0.381
7/1 5:54:24 PM,60,Kitchen Sink,0.688,0.562,0.126
7/1 5:57:48 PM,6,Kitchen Sink,0.094,0.077,0.017
7/1 6:26:48 PM,138,Kitchen Sink,1.522,1.242,0.280
7/1 9:41:24 PM,150,Kitchen Sink,0.049,0.040,0.009
7/1 10:28:30 PM,54,Kitchen Sink,1.229,1.003,0.226
7/1 11:07:30 PM,18,Sink 3,0.461,0.376,0.085
7/2 12:07:06 AM,66,Sink 4,1.081,0.882,0.199
7/2 6:21:42 AM,678,Shower 2,0.997,0.814,0.183
7/2 6:52:18 AM,414,Shower 1,1.493,1.218,0.275
7/2 8:41:36 AM,42,Kitchen Sink,0.449,0.366,0.083
7/2 10:57:00 AM,90,CW,2.054,2.054,0.000
7/2 11:01:54 AM,72,CW,3.132,3.132,0.000
7/2 11:40:00 AM,84,Kitchen Sink,1.948,1.590,0.358
7/2 11:40:54 AM,102,Kitchen Sink,0.742,0.606,0.136
7/2 11:41:54 AM,66,Kitchen Sink,2.158,1.761,0.397
7/2 11:42:48 AM,12,Sink 3,1.521,1.241,0.280
7/2 11:43:54 AM,6,Kitchen Sink,0.646,0.527,0.119
7/2 11:44:48 AM,72,Sink 3,2.113,1.724,0.389
7/2 11:46:12 AM,18,Sink 2,1.318,1.076,0.242
7/2 11:46:42 AM,6,Sink 2,1.102,0.899,0.203
7/2 11:48:06 AM,6,Sink 3,0.132,0.108,0.024
7/2 11:48:36 AM,12,Kitchen Sink,0.998,0.814,0.184
7/2 11:50:30 AM,60,Kitchen Sink,0.201,0.164,0.037
7/2 12:05:00 PM,78,Sink 4,0.302,0.246,0.056
7/2 12:50:48 PM,12,Kitchen Sink,0.723,0.590,0.133
7/2 12:52:42 PM,24,Kitchen Sink,1.295,1.057,0.238
7/2 1:44:30 PM,42,Kitchen Sink,0.111,0.091,0.020
7/2 2:14:18 PM,72,DW1,1.624,1.624,0.000
7/2 2:24:06 PM,90,DW1,1.492,1.492,0.000
7/2 2:33:54 PM,72,DW1,1.302,1.302,0.000
7/2 2:40:06 PM,6,Kitchen Sink,0.356,0.291,0.065
7/2 2:43:42 PM,96,DW1,1.169,1.169,0.000
7/2 2:53:30 PM,72,DW1,1.529,1.529,0.000
7/2 3:03:12 PM,84,DW1,1.097,1.097,0.000
7/2 4:11:06 PM,6,Sink 3,0.3,0.245,0.055
7/2 4:36:00 PM,168,Sink 4,1.106,0.903,0.203
7/2 4:37:54 PM,36,Kitchen Sink,0.632,0.516,0.116
7/2 4:39:54 PM,180,Sink 3,0.05,0.041,0.009
7/2 4:41:48 PM,18,Sink 3,0.922,0.752,0.170
7/2 4:58:48 PM,6,Kitchen Sink,0.459,0.375,0.084
7/2 6:23:24 PM,6,Kitchen Sink,0.132,0.108,0.024
7/2 7:20:24 PM,48,Sink 3,0.745,0.608,0.137
7/2 9:27:12 PM,6,Sink 2,0.073,0.060,0.013
7/2 9:43:48 PM,6,Kitchen Sink,0.811,0.662,0.149
7/3 6:29:30 AM,6,Kitchen Sink,0.928,0.757,0.171
7/3 6:29:36 AM,12,Kitchen Sink,1.106,0.902,0.204
7/3 6:31:30 AM,24,Kitchen Sink,1.542,1.258,0.284
7/3 6:33:24 AM,18,Kitchen Sink,1.514,1.235,0.279
7/3 7:22:24 AM,18,Kitchen Sink,0.783,0.639,0.144
7/3 7:52:18 AM,6,Kitchen Sink,0.111,0.091,0.020
7/3 8:04:36 AM,24,Kitchen Sink,0.253,0.206,0.047
7/3 8:06:30 AM,18,Kitchen Sink,1.065,0.869,0.196
7/3 8:08:30 AM,36,Kitchen Sink,1.087,0.887,0.200
7/3 9:05:48 AM,12,Kitchen Sink,0.403,0.329,0.074
7/3 9:07:42 AM,6,Kitchen Sink,0.291,0.237,0.054
7/3 9:09:36 AM,6,Kitchen Sink,0.808,0.659,0.149
7/3 9:11:36 AM,24,Kitchen Sink,1.765,1.440,0.325
7/3 9:13:30 AM,12,Kitchen Sink,1.219,0.994,0.225
7/3 9:15:24 AM,90,Kitchen Sink,1.15,0.938,0.212
7/3 9:17:24 AM,30,Sink 3,2.122,1.731,0.391
7/3 9:19:18 AM,6,Kitchen Sink,1.148,0.937,0.211
7/3 9:21:12 AM,6,Sink 3,0.535,0.436,0.099
7/3 9:59:54 AM,216,Kitchen Sink,1.276,1.041,0.235
7/3 11:53:06 AM,84,Kitchen Sink,1.68,1.371,0.309
7/3 11:59:00 AM,6,Sink 4,0.91,0.742,0.168
7/3 1:37:18 PM,60,DW1,1.107,1.107,0.000
7/3 1:47:06 PM,114,DW1,1.422,1.422,0.000
7/3 1:56:48 PM,72,DW1,1.087,1.087,0.000
7/3 2:06:36 PM,96,DW1,1.2,1.200,0.000
7/3 2:16:24 PM,42,DW1,1.898,1.898,0.000
7/3 2:26:12 PM,66,DW1,1.468,1.468,0.000
7/3 2:31:18 PM,6,Kitchen Sink,0.34,0.277,0.063
7/3 2:33:12 PM,84,Kitchen Sink,0.51,0.416,0.094
7/3 5:24:48 PM,18,CW,2.024,2.024,0.000
7/3 6:02:30 PM,48,Kitchen Sink,1.678,1.369,0.309
7/3 6:28:36 PM,102,Kitchen Sink,1.923,1.569,0.354
7/3 6:57:54 PM,12,Sink 4,1.627,1.327,0.300
7/3 7:17:24 PM,12,Sink 4,1.895,1.546,0.349
7/3 8:44:00 PM,24,Sink 2,1.147,0.936,0.211
7/3 9:08:54 PM,6,Kitchen Sink,0.489,0.399,0.090
7/3 9:10:48 PM,6,Sink 4,0.007,0.006,0.001
7/3 9:53:12 PM,12,Kitchen Sink,1.747,1.425,0.322
7/3 9:55:06 PM,30,Kitchen Sink,2.327,1.898,0.429
7/4 12:36:48 AM,36,Sink 3,0.917,0.748,0.169
7/4 6:01:12 AM,18,Kitchen Sink,1.608,1.311,0.297
7/4 6:03:12 AM,24,Kitchen Sink,0.256,0.209,0.047
7/4 6:48:06 AM,6,Kitchen Sink,0.303,0.247,0.056
7/4 6:50:06 AM,36,Sink 2,0.883,0.720,0.163
7/4 6:52:00 AM,18,Kitchen Sink,0.783,0.639,0.144
7/4 7:40:30 AM,102,Kitchen Sink,1.271,1.037,0.234
7/4 7:42:30 AM,6,Kitchen Sink,0.064,0.052,0.012
7/4 7:44:24 AM,78,Kitchen Sink,0.62,0.506,0.114
7/4 7:46:18 AM,36,Sink 3,1.386,1.130,0.256
7/4 8:26:12 AM,90,Kitchen Sink,1.872,1.527,0.345
7/4 8:36:30 AM,24,Kitchen Sink,1.463,1.193,0.270
7/4 11:15:12 AM,12,Sink 3,1.361,1.110,0.251
7/4 11:59:18 AM,48,Kitchen Sink,0.407,0.332,0.075
7/4 12:01:18 PM,6,Kitchen Sink,0.309,0.252,0.057
7/4 12:33:12 PM,48,Kitchen Sink,1.362,1.111,0.251
7/4 1:29:00 PM,24,Kitchen Sink,2.004,1.634,0.370
7/4 2:09:24 PM,102,Kitchen Sink,1.36,1.109,0.251
7/4 3:02:18 PM,72,Kitchen Sink,1.228,1.001,0.227
7/4 3:48:54 PM,24,Sink 4,1.095,0.893,0.202
7/4 4:33:48 PM,12,Sink 2,1.61,1.313,0.297
7/4 5:22:00 PM,168,Kitchen Sink,2,1.631,0.369
7/4 5:23:54 PM,36,Kitchen Sink,1.268,1.034,0.234
7/4 5:25:54 PM,30,Kitchen Sink,1.794,1.463,0.331
7/4 5:34:54 PM,6,Kitchen Sink,1.485,1.211,0.274
7/4 5:50:54 PM,54,Kitchen Sink,1.17,0.954,0.216
7/4 8:05:42 PM,18,Kitchen Sink,1.213,0.989,0.224
7/4 8:16:36 PM,24,Kitchen Sink,0.274,0.223,0.051
7/5 5:38:24 AM,66,Kitchen Sink,1.059,0.863,0.196
7/5 5:40:18 AM,114,Kitchen Sink,0.91,0.742,0.168
7/5 6:34:18 AM,306,Shower 1,2.653,2.163,0.490
7/5 7:10:24 AM,78,Kitchen Sink,0.757,0.617,0.140
7/5 7:25:24 AM,672,Shower 1,2.317,1.889,0.428
7/5 8:19:54 AM,18,Kitchen Sink,2.073,1.690,0.383
7/5 9:03:54 AM,54,Kitchen Sink,0.05,0.041,0.009
7/5 11:04:24 AM,36,Kitchen Sink,0.914,0.745,0.169
7/5 11:06:18 AM,30,Kitchen Sink,1.142,0.931,0.211
7/5 11:10:00 AM,6,Sink 4,0.36,0.293,0.067
7/5 11:11:54 AM,6,Kitchen Sink,0.513,0.418,0.095
7/5 11:13:48 AM,30,Kitchen Sink,2.272,1.852,0.420
7/5 1:28:42 PM,24,Kitchen Sink,0.539,0.439,0.100
7/5 2:28:06 PM,6,Kitchen Sink,0.281,0.229,0.052
7/5 2:30:00 PM,48,Kitchen Sink,0.743,0.606,0.137
7/5 2:32:00 PM,210,Kitchen Sink,0.398,0.324,0.074
7/5 2:33:54 PM,24,Sink 3,1.496,1.220,0.276
7/5 2:35:48 PM,36,Kitchen Sink,1.035,0.844,0.191
7/5 3:29:18 PM,60,Sink 2,1.857,1.514,0.343
7/5 3:31:18 PM,54,Kitchen Sink,1.325,1.080,0.245
7/5 3:33:12 PM,6,Sink 2,0.189,0.154,0.035
7/5 4:36:12 PM,6,Kitchen Sink,1.137,0.927,0.210
7/5 4:38:06 PM,6,Kitchen Sink,1.069,0.872,0.197
7/5 5:17:12 PM,6,CW,4.736,4.736,0.000
7/5 5:22:12 PM,72,CW,2.035,2.035,0.000
7/5 5:58:36 PM,54,Sink 4,1.241,1.012,0.229
7/5 6:13:54 PM,12,Kitchen Sink,1.751,1.428,0.323
7/5 6:31:30 PM,72,CW,2.082,2.082,0.000
7/5 6:36:24 PM,54,CW,2.623,2.623,0.000
7/5 7:08:48 PM,90,Kitchen Sink,0.845,0.689,0.156
7/5 7:10:48 PM,30,Kitchen Sink,0.54,0.440,0.100
7/5 7:12:42 PM,6,Kitchen Sink,0.49,0.399,0.091
7/5 7:14:36 PM,6,Kitchen Sink,0.835,0.681,0.154
7/5 7:16:36 PM,6,Sink 2,2.586,2.108,0.478
7/5 9:05:30 PM,54,Kitchen Sink,0.047,0.038,0.009
7/5 10:46:12 PM,42,Kitchen Sink,0.361,0.294,0.067
7/5 10:48:06 PM,42,Kitchen Sink,1.355,1.105,0.250
7/6 12:09:42 AM,18,Kitchen Sink,1.4,1.141,0.259
7/6 12:50:00 AM,12,Kitchen Sink,1.137,0.927,0.210
7/6 2:26:36 AM,6,Kitchen Sink,1.256,1.024,0.232
7/6 7:17:30 AM,48,Sink 4,1.809,1.474,0.335
7/6 7:19:24 AM,6,Kitchen Sink,0.543,0.443,0.100
7/6 7:21:24 AM,6,Kitchen Sink,0.232,0.189,0.043
7/6 7:23:18 AM,24,Kitchen Sink,0.903,0.736,0.167
7/6 8:36:24 AM,6,Sink 2,1.673,1.364,0.309
7/6 11:03:36 AM,54,Sink 3,1.929,1.572,0.357
7/6 11:05:54 AM,6,Sink 3,0.331,0.270,0.061
7/6 11:40:36 AM,36,Sink 3,0.369,0.301,0.068
7/6 12:15:12 PM,168,Kitchen Sink,1.04,0.848,0.192
7/6 12:17:06 PM,6,Sink 3,1.7,1.386,0.314
7/6 12:19:00 PM,24,Sink 2,0.055,0.045,0.010
7/6 12:21:00 PM,72,Kitchen Sink,0.444,0.362,0.082
7/6 12:22:54 PM,30,Kitchen Sink,1.927,1.571,0.356
7/6 2:29:54 PM,6,Kitchen Sink,0.93,0.758,0.172
7/6 2:53:18 PM,30,Kitchen Sink,1.682,1.371,0.311
7/6 2:55:18 PM,114,Kitchen Sink,0.051,0.042,0.009
7/6 3:43:12 PM,48,Sink 2,0.757,0.617,0.140
7/6 3:43:18 PM,78,Kitchen Sink,0.655,0.534,0.121
7/6 3:45:12 PM,6,Sink 4,0.624,0.509,0.115
7/6 3:47:06 PM,42,Kitchen Sink,0.203,0.165,0.038
7/6 4:11:36 PM,18,Sink 2,1.637,1.334,0.303
7/6 4:13:30 PM,6,Kitchen Sink,0.029,0.024,0.005
7/6 4:15:30 PM,132,Kitchen Sink,1.392,1.135,0.257
7/6 4:17:24 PM,48,Sink 2,0.933,0.760,0.173
7/6 4:19:18 PM,18,Sink 4,0.718,0.585,0.133
7/6 4:21:18 PM,6,Kitchen Sink,0.047,0.038,0.009
7/6 4:23:12 PM,36,Kitchen Sink,1.966,1.602,0.364
7/6 4:25:06 PM,6,Kitchen Sink,0.283,0.231,0.052
7/6 4:27:06 PM,36,Sink 4,1.359,1.108,0.251
7/6 6:07:24 PM,6,Sink 4,1.466,1.195,0.271
7/6 6:33:48 PM,150,Shower 1,1.55,1.263,0.287
7/6 7:05:24 PM,144,Kitchen Sink,2.264,1.845,0.419
7/6 7:46:30 PM,66,Kitchen Sink,2.016,1.643,0.373
7/6 8:17:36 PM,78,Kitchen Sink,0.051,0.042,0.009
7/6 8:19:36 PM,222,Kitchen Sink,0.051,0.042,0.009
7/6 8:21:30 PM,6,Kitchen Sink,0.539,0.439,0.100
7/6 8:32:30 PM,18,Kitchen Sink,1.343,1.095,0.248
7/6 9:40:24 PM,150,Kitchen Sink,1.398,1.139,0.259
7/6 9:42:18 PM,6,Kitchen Sink,0.141,0.115,0.026
7/6 10:09:54 PM,108,Kitchen Sink,0.141,0.115,0.026
7/6 10:24:36 PM,12,Kitchen Sink,2.145,1.748,0.397
7/6 10:41:54 PM,30,Kitchen Sink,0.555,0.452,0.103
