Capacity,Power,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Elapsed Seconds
675,4500,117.8366,117.6116,117.275,111.0866,110.525,802.27876997
675,4500,117.8366,117.6116,117.275,111.0866,110.975,807.599261999
675,4500,117.8366,117.6116,117.275,111.2,111.425,812.922365904
600,4500,117.8366,117.6116,117.05,111.2,111.9866,818.248764038
600,4500,117.8366,117.6116,117.1616,111.425,111.875,824.399762869
600,4500,117.8366,117.6116,117.05,111.65,111.7616,830.699171066
600,4500,117.8366,117.6116,115.8116,111.7616,111.9866,836.849113941
600,4500,117.8366,117.6116,116.0366,111.875,111.7616,842.169676065
600,4500,117.8366,117.6116,116.7116,111.875,111.65,849.148879051
600,4500,117.8366,117.6116,116.9366,111.9866,111.65,854.470053911
600,4500,117.8366,117.6116,116.4866,112.1,111.9866,860.628664017
600,4500,117.8366,117.6116,116.2616,112.2116,112.1,865.949393034
600,4500,117.8366,117.6116,116.15,112.2116,112.4366,871.269105911
600,4500,117.8366,117.6116,115.7,112.4366,112.55,877.449311018
600,4500,117.8366,117.6116,115.3616,112.6616,112.55,882.769451857
600,4500,117.8366,117.6116,115.5866,112.6616,113.0,888.919210911
600,4500,117.8366,117.6116,115.8116,113.225,113.675,895.069072008
600,4500,117.8366,117.6116,115.8116,113.225,113.5616,900.388895035
600,4500,117.8366,117.6116,115.3616,113.3366,113.3366,907.368996859
600,4500,117.8366,117.6116,115.3616,113.675,113.5616,913.529502869
600,4500,117.8366,117.6116,115.25,113.9,113.5616,919.679177046
600,4500,117.8366,117.6116,115.025,113.9,114.0116,925.829838991
600,4500,117.8366,117.6116,115.025,114.0116,113.9,932.809279919
525,4500,117.8366,117.6116,115.25,114.0116,113.9,938.958688021
525,4500,117.8366,117.6116,115.475,114.125,113.9,944.279249907
525,4500,117.8366,117.6116,115.475,114.125,113.7866,949.668654919
525,4500,117.8366,117.6116,115.5866,114.2366,114.0116,955.819670916
525,4500,117.8366,117.6116,115.5866,114.2366,114.0116,961.139433861
525,4500,117.8366,117.6116,115.7,114.2366,114.0116,966.459403992
525,4500,117.8366,117.6116,115.8116,114.35,113.9,973.439131021
525,4500,117.8366,117.6116,115.8116,114.6866,114.125,979.908941984
525,4500,117.8366,117.6116,115.7,114.9116,114.125,986.889199018
525,4500,117.8366,117.6116,115.8116,115.1366,114.35,993.870384932
450,4500,117.8366,117.6116,115.8116,115.1366,114.35,1000.84947205
450,4500,117.8366,117.6116,115.925,115.25,115.25,1006.99938607
450,4500,117.8366,117.6116,116.0366,115.475,115.7,1014.91044092
450,4500,117.8366,117.6116,116.2616,115.5866,115.5866,1020.22864699
450,4500,117.8366,117.6116,116.375,115.7,115.7,1027.20978498
450,4500,117.8366,117.6116,116.375,115.8116,115.7,1032.53007388
450,4500,117.8366,117.6116,116.375,115.925,115.7,1037.84940195
450,4500,117.8366,117.6116,116.4866,116.0366,116.0366,1043.16856694
450,4500,117.8366,117.6116,116.4866,116.15,115.925,1049.31993508
450,4500,117.8366,117.6116,116.6,116.15,116.0366,1056.29912686
375,4500,117.8366,117.6116,116.7116,116.15,115.925,1061.63027096
