Capacity,Power,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Elapsed Seconds
225,0,122.45,122.3366,122.45,122.3366,121.6616,431.272459984
225,0,122.45,122.3366,122.45,122.3366,121.6616,436.591917992
225,0,122.45,122.225,122.45,122.3366,121.6616,444.411106825
225,0,122.45,122.3366,122.45,122.3366,121.6616,449.731431961
225,0,122.45,122.3366,122.45,122.3366,121.6616,456.712151051
225,0,122.45,122.3366,122.45,122.45,121.6616,462.941546917
225,0,122.45,122.3366,122.45,122.3366,121.6616,468.262001038
225,0,122.45,122.3366,122.45,122.3366,121.6616,473.591936827
225,0,122.45,122.3366,122.45,122.3366,121.6616,478.911870003
225,0,122.45,122.3366,122.45,122.3366,121.6616,484.231497049
225,0,122.45,122.3366,122.45,122.3366,121.6616,490.422593832
225,0,122.45,122.3366,122.45,122.3366,121.6616,497.761631966
225,0,122.45,122.3366,122.45,122.45,121.6616,504.741127014
225,0,122.45,122.3366,122.45,122.45,121.6616,510.892703056
225,0,122.45,122.3366,122.45,122.3366,121.6616,517.061738014
225,0,122.45,122.3366,122.45,122.3366,121.6616,522.401450872
225,0,122.45,122.3366,122.45,122.3366,121.6616,527.721781969
225,0,122.45,122.3366,122.45,122.45,121.6616,534.701664925
225,0,122.45,122.3366,122.45,122.3366,121.6616,540.021891832
225,0,122.45,122.3366,122.45,122.3366,121.6616,545.341620922
225,0,122.45,122.3366,122.45,122.3366,121.6616,550.662008047
225,0,122.45,122.3366,122.45,122.3366,121.6616,555.981745005
225,0,122.45,122.3366,122.45,122.3366,121.6616,562.130893946
225,0,122.45,122.3366,122.45,122.3366,121.6616,567.451616049
225,0,122.45,122.3366,122.45,122.3366,121.6616,572.771771908
225,0,122.45,122.3366,122.45,122.3366,121.6616,578.921996832
225,0,122.45,122.3366,122.45,122.3366,121.6616,584.402071953
225,0,122.45,122.3366,122.45,122.3366,121.6616,591.382017851
225,0,122.45,122.3366,122.45,122.3366,121.6616,597.531364918
225,0,122.45,122.3366,122.45,122.3366,121.6616,602.851869822
225,0,122.45,122.3366,122.45,122.3366,121.6616,608.181457996
225,0,122.45,122.225,122.45,122.3366,121.6616,613.501346827
225,0,122.45,122.3366,122.45,122.3366,121.6616,622.141330004
225,0,122.45,122.3366,122.45,122.3366,121.6616,627.461879969
225,0,122.45,122.3366,122.45,122.3366,121.6616,632.780868053
225,0,122.45,122.3366,122.45,122.3366,121.6616,639.761401892
225,0,122.45,122.3366,122.45,122.3366,121.6616,645.081383944
225,0,122.45,122.3366,122.45,122.3366,121.6616,650.401702881
225,0,122.45,122.3366,122.45,122.3366,121.6616,655.871304989
225,0,122.45,122.3366,122.45,122.3366,121.6616,661.201531887
225,0,122.45,122.3366,122.45,122.3366,121.6616,666.521313906
225,0,122.45,122.3366,122.45,122.3366,121.6616,672.671519041
225,0,122.45,122.3366,122.45,122.3366,121.6616,679.651466846
225,0,122.45,122.3366,122.45,122.3366,121.6616,684.97082901
225,0,122.45,122.225,122.45,122.3366,121.6616,690.292919874
225,0,122.45,122.225,122.45,122.3366,121.6616,695.610882044
225,0,122.45,122.225,122.45,122.3366,121.6616,702.751294851
225,0,122.45,122.3366,122.45,122.3366,121.6616,708.071418047
225,0,122.3366,122.3366,122.45,122.3366,121.6616,713.391546965
225,0,122.45,122.225,122.45,122.3366,121.6616,719.541409016
225,0,122.45,122.225,122.45,122.3366,121.6616,724.860831022
225,0,122.45,122.3366,122.45,122.3366,121.6616,730.181445837
225,0,122.45,122.3366,122.3366,122.3366,121.6616,735.501504898
225,0,122.45,122.3366,122.45,122.3366,121.6616,742.001549959
225,0,122.3366,122.225,122.3366,122.3366,121.6616,747.321465015
225,0,122.3366,122.225,122.45,122.3366,121.6616,754.340914965
225,0,122.45,122.225,122.45,122.3366,121.6616,759.661373854
225,0,122.45,122.225,122.3366,122.3366,121.6616,765.811307907
225,0,122.45,122.225,122.3366,122.3366,121.6616,771.962033987
225,0,122.45,122.225,122.3366,122.3366,121.6616,778.111779928
225,0,122.45,122.225,122.3366,122.3366,121.6616,783.431133986
225,0,122.45,122.225,122.45,122.3366,121.6616,788.752166033
225,0,122.45,122.225,122.45,122.3366,121.6616,794.071643829
225,0,122.45,122.225,122.3366,122.3366,121.6616,800.243350029
225,0,122.45,122.225,122.3366,122.3366,121.55,805.570997953
225,0,122.3366,122.225,122.3366,122.3366,120.425,812.551025867
225,0,122.3366,122.225,122.3366,122.3366,119.3,817.872120857
225,0,122.3366,122.225,122.3366,122.3366,119.3,823.194259882
225,0,122.225,122.1116,122.3366,122.3366,105.8,830.171630859
225,0,122.1116,121.8866,122.3366,122.225,101.75,835.491194963
225,0,122.1116,121.8866,122.3366,122.225,97.8116,842.501759052
225,0,122.1116,121.8866,122.3366,121.4366,95.9,847.831311941
225,0,122.1116,121.8866,122.3366,119.8616,95.9,854.003299952
225,0,122.1116,121.775,122.0,113.9,92.6366,860.161543846
600,0,121.8866,121.6616,121.8866,111.65,91.5116,865.493255854
600,0,121.8866,121.6616,121.8866,105.4616,90.3866,871.643440962
600,0,121.8866,121.6616,120.9866,105.4616,89.825,878.641124964
600,0,121.6616,121.55,120.9866,97.5866,89.2616,883.961488962
600,0,121.55,121.4366,120.9866,95.225,88.5866,890.111443043
600,0,121.4366,121.2116,120.5366,93.7616,87.9116,895.431584835
600,0,121.4366,121.2116,120.3116,92.975,87.2366,900.901417017
600,0,121.4366,121.2116,120.425,92.75,86.9,906.221524
600,0,121.4366,121.2116,120.7616,92.1866,86.7866,911.541854858
600,0,121.4366,121.2116,120.9866,91.7366,87.2366,916.921780825
600,0,121.4366,121.2116,120.875,91.2866,87.4616,923.070940971
975,4500,121.4366,121.2116,120.875,91.0616,87.575,929.221101999
975,4500,121.4366,121.2116,120.9866,90.6116,87.575,935.371624947
975,4500,121.4366,121.2116,120.875,90.3866,87.575,940.742140055
975,4500,121.4366,121.2116,120.875,90.3866,87.8,946.071354866
975,4500,121.4366,121.2116,120.875,90.8366,87.9116,951.394459963
975,4500,121.4366,121.2116,120.875,90.8366,88.1366,956.734474897
975,4500,121.4366,121.2116,120.875,90.725,88.25,962.071333885
975,4500,121.4366,121.2116,120.9866,90.8366,88.3616,967.392176867
975,4500,121.4366,121.2116,120.9866,90.8366,88.5866,973.551586866
975,4500,121.4366,121.2116,120.9866,90.95,88.7,979.021108866
1200,4500,121.4366,121.2116,120.9866,91.2866,88.925,986.341526985
1200,4500,121.4366,121.1,120.875,91.9616,89.2616,992.521646023
1200,4500,121.325,121.2116,120.875,91.7366,89.375,997.841418028
1200,4500,121.325,121.1,120.875,91.7366,89.375,1003.1614809
1200,4500,121.325,121.2116,120.875,91.625,89.825,1009.31164694
1200,4500,121.325,121.2116,120.875,91.9616,90.275,1014.63187194
1200,4500,121.325,121.2116,120.875,92.1866,90.5,1019.96107292
1200,4500,121.325,121.2116,120.875,92.4116,90.5,1025.28381896
1200,4500,121.325,121.2116,120.9866,93.0866,91.625,1032.26229405
1200,4500,121.325,121.2116,120.9866,92.975,92.075,1037.58089685
1275,4500,121.325,121.2116,120.9866,92.75,92.075,1042.98162985
1275,4500,121.325,121.2116,120.875,92.75,92.4116,1048.30182099
1275,4500,121.325,121.2116,120.875,92.75,92.1866,1054.46153998
1275,4500,121.325,121.1,120.875,92.75,92.525,1059.78147984
1275,4500,121.325,121.2116,120.875,93.0866,92.75,1065.93159604
1275,4500,121.325,121.1,120.875,93.425,92.75,1071.25159883
1275,4500,121.325,121.2116,120.875,93.7616,92.6366,1076.57166195
1275,4500,121.325,121.1,120.875,93.7616,92.975,1082.79188204
1275,4500,121.325,121.1,120.875,93.875,93.425,1088.95157003
1275,4500,121.325,121.2116,120.875,94.1,93.65,1094.27152085
1275,4500,121.325,121.1,120.875,94.325,93.65,1099.59186196
1275,4500,121.325,121.1,120.9866,94.325,93.425,1104.91101599
1275,4500,121.325,121.1,120.9866,94.325,93.2,1111.89178991
1275,4500,121.325,121.1,120.875,94.775,93.65,1118.04168487
1275,4500,121.325,121.1,120.875,94.8866,93.9866,1124.19119692
1275,4500,121.325,121.2116,120.875,95.0,94.1,1130.36150384
1275,4500,121.325,121.1,120.875,95.1116,93.875,1135.68094301
1275,4500,121.325,121.2116,120.875,95.1116,94.325,1141.00299597
1275,4500,121.325,121.1,120.875,95.225,94.6616,1147.16161585
1275,4500,121.325,121.1,120.875,95.45,94.6616,1152.48097682
1275,4500,121.325,121.2116,120.875,95.675,94.775,1157.80165792
1275,4500,121.325,121.1,120.875,95.7866,94.6616,1163.951334
1275,4500,121.325,121.1,120.875,95.7866,95.675,1169.27154183
1275,4500,121.325,121.1,120.875,95.9,96.125,1174.59124589
1275,4500,121.325,121.1,120.875,96.125,96.8,1179.91221905
1275,4500,121.325,121.1,120.875,96.2366,96.8,1185.4013679
1275,4500,121.325,121.2116,120.875,96.575,96.6866,1194.040905
1275,4500,121.325,121.1,120.875,96.575,96.8,1200.19186497
1275,4500,121.325,121.1,120.875,96.575,97.1366,1205.51092696
1275,4500,121.325,121.1,120.875,97.1366,96.6866,1212.49189305
1275,4500,121.325,121.1,120.875,97.3616,96.8,1217.81150985
1200,4500,121.325,121.1,120.875,97.3616,97.25,1223.13127685
1200,4500,121.325,121.1,120.9866,97.25,97.925,1230.45151305
1200,4500,121.325,121.1,120.875,97.3616,97.7,1235.77141905
1200,4500,121.325,121.1,120.875,97.5866,97.3616,1241.09270787
1200,4500,121.325,121.1,120.875,97.7,97.1366,1246.56162405
1200,4500,121.325,121.1,120.875,97.8116,97.1366,1252.71153092
1200,4500,121.325,121.1,120.875,97.925,97.3616,1258.03177691
1200,4500,121.325,121.1,120.875,98.0366,98.0366,1265.01143885
1200,4500,121.325,121.1,120.875,98.2616,97.925,1271.99177003
1200,4500,121.325,121.1,120.875,98.4866,98.4866,1279.8020339
1200,4500,121.325,121.1,120.875,98.7116,98.9366,1288.44142699
1200,4500,121.325,121.1,120.875,98.9366,99.5,1295.43116689
1200,4500,121.325,121.1,120.875,99.05,99.3866,1301.58239794
1200,4500,121.325,121.1,120.875,99.05,99.725,1308.56149483
1200,4500,121.325,121.1,120.875,99.275,99.6116,1313.88221097
1200,4500,121.325,121.1,120.875,99.3866,99.6116,1319.20261693
1200,4500,121.325,121.1,120.875,99.3866,99.1616,1324.53163385
1200,4500,121.325,121.1,120.875,99.6116,99.275,1330.68147802
1200,4500,121.325,121.1,120.875,99.725,99.1616,1338.50246
1125,4500,121.325,121.1,120.875,99.8366,99.5,1343.82115293
1125,4500,121.325,121.1,120.875,100.175,100.175,1349.9714179
1125,4500,121.325,121.1,120.875,100.5116,100.2866,1356.21141696
1125,4500,121.325,121.1,120.875,100.7366,99.95,1363.19243789
1125,4500,121.325,121.1,120.875,100.85,100.0616,1368.51150393
1125,4500,121.325,121.1,120.875,100.9616,100.7366,1375.49405384
1125,4500,121.325,121.1,120.875,101.075,101.1866,1380.82263803
1125,4500,121.325,121.1,120.875,101.075,101.6366,1386.97217584
1125,4500,121.325,121.1,120.875,101.075,101.4116,1392.29181504
1125,4500,121.325,121.1,120.875,101.3,102.3116,1399.35124803
1050,4500,121.325,121.1,120.875,101.525,102.5366,1405.51090002
1050,4500,121.325,121.1,120.875,101.6366,102.875,1410.83151388
1050,4500,121.325,121.1,120.875,101.6366,102.9866,1416.15217495
1050,4500,121.325,121.1,120.875,101.8616,103.775,1423.13161087
1050,4500,121.325,121.1,120.875,101.975,103.55,1429.280931
1050,4500,121.325,121.1,120.7616,102.3116,102.9866,1434.60211396
1050,4500,121.325,121.1,120.7616,102.425,103.4366,1440.24098682
1050,4500,121.325,121.1,120.875,102.5366,103.325,1445.56211185
1050,4500,121.325,121.1,120.875,102.7616,103.325,1450.88091397
1050,4500,121.325,121.1,120.875,102.875,103.325,1456.20271993
1050,4500,121.325,121.1,120.7616,102.9866,103.325,1463.33115101
1050,4500,121.325,121.1,120.7616,102.9866,104.1116,1468.65184188
1050,4500,121.2116,121.1,120.875,103.2116,104.5616,1475.16172791
1050,4500,121.325,121.1,120.875,103.2116,104.225,1480.48150396
1050,4500,121.325,121.1,120.875,103.4366,103.775,1485.80187082
1050,4500,121.325,121.1,120.875,103.55,104.225,1491.12181187
1050,4500,121.325,121.1,120.875,103.55,104.3366,1498.11229205
1050,4500,121.325,121.1,120.875,103.55,104.7866,1503.43364406
1050,4500,121.325,121.1,120.875,103.6616,104.45,1508.76153803
1050,4500,121.325,121.1,120.875,103.775,104.3366,1514.08100605
1050,4500,121.325,121.1,120.875,104.1116,104.225,1519.441046
900,4500,121.325,121.1,120.875,104.225,103.8866,1524.76112103
900,4500,121.2116,121.1,120.875,104.3366,103.8866,1530.09166694
900,4500,121.325,121.1,120.875,104.675,104.225,1536.24195194
900,4500,121.325,121.1,120.875,104.7866,105.2366,1543.23153305
900,4500,121.325,121.1,120.875,105.0116,105.6866,1549.38132787
900,4500,121.325,121.1,120.875,105.125,105.35,1554.71159482
900,4500,121.2116,121.1,120.875,105.2366,105.575,1560.03112197
900,4500,121.325,121.1,120.875,105.4616,106.25,1566.18245292
900,4500,121.325,121.1,120.875,105.575,106.3616,1572.33400297
900,4500,121.325,121.1,120.875,105.6866,105.9116,1578.48241401
900,4500,121.2116,121.1,120.875,105.6866,106.1366,1584.65110683
900,4500,121.325,121.1,120.7616,105.8,106.025,1589.97218204
900,4500,121.2116,121.1,120.7616,105.9116,105.9116,1596.12165499
900,4500,121.325,121.1,120.7616,106.025,105.9116,1601.44163203
900,4500,121.325,121.1,120.7616,106.25,105.8,1606.76167488
900,4500,121.325,121.1,120.7616,106.475,106.1366,1613.74142385
900,4500,121.325,121.1,120.875,106.475,106.475,1620.72114396
900,4500,121.325,121.1,120.7616,106.5866,107.0366,1626.87148905
900,4500,121.325,121.1,120.875,106.7,107.0366,1633.02152491
900,4500,121.325,121.1,120.875,106.8116,107.2616,1638.34148598
825,4500,121.2116,121.1,120.7616,106.925,107.0366,1643.66117883
825,4500,121.2116,121.1,120.7616,106.925,106.925,1648.98146605
825,4500,121.2116,121.1,120.7616,106.925,107.2616,1655.97104001
825,4500,121.2116,121.1,120.7616,107.4866,107.7116,1661.29175401
825,4500,121.2116,121.1,120.7616,107.6,108.275,1666.6115129
825,4500,121.2116,121.1,120.7616,107.825,108.1616,1671.93115187
825,4500,121.2116,121.1,120.875,108.1616,108.5,1680.57143188
825,4500,121.2116,121.1,120.7616,108.1616,108.275,1686.01162982
825,4500,121.2116,121.1,120.7616,108.5,108.275,1692.16108799
825,4500,121.2116,121.1,120.7616,108.6116,108.275,1698.32228589
750,4500,121.2116,121.1,120.7616,108.6116,108.275,1703.64086795
750,4500,121.325,121.1,120.7616,108.725,108.6116,1708.96196699
750,4500,121.325,121.1,120.7616,108.725,109.5116,1715.11143088
750,4500,121.2116,121.1,120.7616,108.725,109.175,1721.64143205
750,4500,121.325,121.1,120.7616,108.8366,109.175,1726.96171689
750,4500,121.2116,121.1,120.7616,108.95,109.5116,1732.28136587
750,4500,121.2116,121.1,120.7616,109.175,109.4,1738.43143702
750,4500,121.2116,121.1,120.7616,109.175,109.4,1743.75282097
750,4500,121.2116,121.1,120.7616,109.5116,109.7366,1749.90215087
750,4500,121.2116,121.1,120.7616,109.5116,109.9616,1755.22114301
750,4500,121.2116,121.1,120.7616,109.625,109.85,1760.54155684
750,4500,121.2116,121.1,120.7616,109.625,110.1866,1769.18138003
750,4500,121.2116,121.1,120.7616,109.85,110.1866,1776.16198397
750,4500,121.2116,121.1,120.65,109.9616,109.9616,1782.31148291
750,4500,121.2116,121.1,120.65,110.075,109.9616,1787.66236496
750,4500,121.2116,121.1,120.5366,110.4116,109.85,1794.64147782
750,4500,121.2116,121.1,120.65,110.525,109.9616,1799.96177602
750,4500,121.2116,121.1,120.65,110.75,111.0866,1805.28092194
750,4500,121.2116,121.1,120.65,110.8616,111.2,1810.60370302
750,4500,121.2116,121.1,120.65,110.8616,111.425,1815.92114997
750,4500,121.2116,121.1,120.2,111.2,111.7616,1822.0722239
675,4500,121.2116,121.1,120.425,111.3116,111.3116,1829.26165891
675,4500,121.2116,121.1,120.425,111.425,111.2,1834.58253503
675,4500,121.2116,121.1,119.8616,111.5366,111.3116,1840.7414639
675,4500,121.2116,121.1,120.0866,111.65,111.7616,1846.89180088
675,4500,121.2116,121.1,120.2,111.7616,111.7616,1852.21140289
